Certification;QuestionNumber;QuestionDirectory;Answer Directory;Category;CorrectAnswer;Additional Resources;Hint
CLAD;1;/Data/QImages/Q0001.png;/Data/AImages/A0001.png;Enviroment;D;;
CLAD;2;/Data/QImages/Q0002.png;/Data/AImages/A0002.png;Enviroment;D;;
CLAD;3;/Data/QImages/Q0003.png;/Data/AImages/A0003.png;Enviroment;D;;
CLAD;4;/Data/QImages/Q0004.png;/Data/AImages/A0004.png;Enviroment;B;;
CLAD;5;/Data/QImages/Q0005.png;/Data/AImages/A0005.png;Troubleshooting;A;;
CLAD;6;/Data/QImages/Q0006.png;/Data/AImages/A0006.png;Troubleshooting;D;;
CLAD;7;/Data/QImages/Q0007.png;/Data/AImages/A0007.png;Troubleshooting;D;;
CLAD;8;/Data/QImages/Q0008.png;/Data/AImages/A0008.png;Troubleshooting;D;;
CLAD;9;/Data/QImages/Q0009.png;/Data/AImages/A0009.png;Troubleshooting;A;;
CLAD;10;/Data/QImages/Q0010.png;/Data/AImages/A0010.png;Troubleshooting;C;;
CLAD;11;/Data/QImages/Q0011.png;/Data/AImages/A0011.png;Troubleshooting;C;;
CLAD;12;/Data/QImages/Q0012.png;/Data/AImages/A0012.png;Troubleshooting;B;;
CLAD;13;/Data/QImages/Q0013.png;/Data/AImages/A0013.png;Troubleshooting;D;;
CLAD;14;/Data/QImages/Q0014.png;/Data/AImages/A0014.png;Troubleshooting;D;;
CLAD;15;/Data/QImages/Q0015.png;/Data/AImages/A0015.png;Troubleshooting;B;;
CLAD;16;/Data/QImages/Q0016.png;/Data/AImages/A0016.png;Troubleshooting;B;;
CLAD;17;/Data/QImages/Q0017.png;/Data/AImages/A0017.png;Troubleshooting;B;;
CLAD;18;/Data/QImages/Q0018.png;/Data/AImages/A0018.png;Troubleshooting;B;;
CLAD;19;/Data/QImages/Q0019.png;/Data/AImages/A0019.png;Troubleshooting;A;;
CLAD;20;/Data/QImages/Q0020.png;/Data/AImages/A0020.png;Troubleshooting;D;;
CLAD;21;/Data/QImages/Q0021.png;/Data/AImages/A0021.png;Troubleshooting;B;;
CLAD;22;/Data/QImages/Q0022.png;/Data/AImages/A0022.png;Troubleshooting;C;;
CLAD;23;/Data/QImages/Q0023.png;/Data/AImages/A0023.png;Troubleshooting;B;;
CLAD;24;/Data/QImages/Q0024.png;/Data/AImages/A0024.png;LabVIEW programming;B;;
CLAD;25;/Data/QImages/Q0025.png;/Data/AImages/A0025.png;LabVIEW programming;A;;
